wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,actual_step,condition
u9j3se06,RodentEncDec_delay9_eff9-20260611-120839,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay9,eff9,warp",Train-eval split,AbsoluteImitation,9,9,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1833.096435546875,331.099853515625,600064000,efference
k0i287kl,RodentEncDec_delay10_eff10-20260611-120848,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay10,eff10,warp",Train-eval split,AbsoluteImitation,10,10,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1789.60986328125,376.0146789550781,600064000,efference
xj1agjno,RodentEncDec_delay15_eff15-20260611-120902,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay15,eff15,warp",Train-eval split,AbsoluteImitation,15,15,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1592.833984375,512.7891235351562,600064000,efference
gunf0ivv,RodentEncDec_delay20_eff20-20260611-120904,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",Train-eval split,AbsoluteImitation,20,20,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1435.531005859375,590.2176513671875,600064000,efference
w2498exh,RodentEncDec_delay30_eff30-20260611-120904,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay30,eff30,warp",Train-eval split,AbsoluteImitation,30,30,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1327.683349609375,564.8617553710938,600064000,efference
rv3u3x7n,RodentEncDec_delay40_eff40-20260611-120905,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay40,eff40,warp",Train-eval split,AbsoluteImitation,40,40,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1232.233642578125,572.444580078125,600064000,efference
1w7nuehe,RodentEncDec_delay50_eff50-20260611-120955,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",Train-eval split,AbsoluteImitation,50,50,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1045.143310546875,559.1459350585938,600064000,efference
y7dh46ee,RodentEncDec_delay60_eff60-20260611-120954,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay60,eff60,warp",Train-eval split,AbsoluteImitation,60,60,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,992.5313110351562,530.5802001953125,600064000,efference
oe9lq9ej,RodentEncDec_delay70_eff70-20260611-120906,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay70,eff70,warp",Train-eval split,AbsoluteImitation,70,70,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,878.22802734375,466.50384521484375,600064000,efference
fgt63dqc,RodentEncDec_delay80_eff80-20260611-120906,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay80,eff80,warp",Train-eval split,AbsoluteImitation,80,80,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,871.5228881835938,463.3311767578125,600064000,efference
2l2lwxl0,RodentEncDec_delay90_eff90-20260611-120905,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay90,eff90,warp",Train-eval split,AbsoluteImitation,90,90,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,789.737548828125,413.3051452636719,600064000,efference
fmypxy1t,RodentEncDec_delay100_eff100-20260611-120955,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay100,eff100,warp",Train-eval split,AbsoluteImitation,100,100,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,772.2216796875,408.118896484375,600064000,efference
da7bwy31,RodentEncDec_delay1_eff0-20260612-071239,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay1,eff0,warp",Train-eval split,AbsoluteImitation,1,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1698.1209716796875,319.0189514160156,600064000,no_efference
xjfzwowg,RodentEncDec_delay2_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay2,eff0,warp",Train-eval split,AbsoluteImitation,2,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1407.158203125,538.6952514648438,600064000,no_efference
ul1hea27,RodentEncDec_delay3_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay3,eff0,warp",Train-eval split,AbsoluteImitation,3,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1142.318603515625,648.9302978515625,600064000,no_efference
t201z077,RodentEncDec_delay4_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay4,eff0,warp",Train-eval split,AbsoluteImitation,4,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1082.827880859375,646.04248046875,600064000,no_efference
ckdbxgv4,RodentEncDec_delay5_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay5,eff0,warp",Train-eval split,AbsoluteImitation,5,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1015.625244140625,639.853759765625,600064000,no_efference
cqdnn5lt,RodentEncDec_delay7_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay7,eff0,warp",Train-eval split,AbsoluteImitation,7,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,905.824462890625,634.4261474609375,600064000,no_efference
10xspymx,RodentEncDec_delay10_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay10,eff0,warp",Train-eval split,AbsoluteImitation,10,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,836.7646484375,611.4616088867188,600064000,no_efference
wtljxy6h,RodentEncDec_delay15_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay15,eff0,warp",Train-eval split,AbsoluteImitation,15,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,798.8248291015625,594.458740234375,600064000,no_efference
rp89mch7,RodentEncDec_delay20_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay20,eff0,warp",Train-eval split,AbsoluteImitation,20,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,735.0716552734375,579.8671875,600064000,no_efference
t852j57z,RodentEncDec_delay30_eff0-20260612-071336,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay30,eff0,warp",Train-eval split,AbsoluteImitation,30,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,710.0687255859375,572.872802734375,600064000,no_efference
z06zkp6x,RodentEncDec_delay50_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay50,eff0,warp",Train-eval split,AbsoluteImitation,50,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,658.0986328125,529.5389404296875,600064000,no_efference
by0y1xl7,RodentEncDec_delay70_eff0-20260612-071544,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay70,eff0,warp",Train-eval split,AbsoluteImitation,70,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,657.2818603515625,532.9347534179688,600064000,no_efference
6cvswb08,RodentEncDec_delay100_eff0-20260612-071451,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay100,eff0,warp",Train-eval split,AbsoluteImitation,100,0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,645.7940673828125,508.7195129394531,600064000,no_efference
